price,bedrooms,bathrooms,sqft_living,sqft_lot,yr_built,zipcode,state
791075,10,3,4884,9564,1951,90000,California
1293501,15,7,15603,57071,1950,90003,California
182419,12,7,14980,54277,1959,90004,California
794218,17,10,11496,30694,2022,90003,California
674925,2,2,886,2001,1965,90001,California
920056,4,1,1636,3279,1971,90001,California
1712617,5,1,1648,4414,2004,90005,California
209001,4,1,2069,5325,1988,90005,California
359512,5,1,1859,3070,1970,90002,California
791554,15,7,19566,28382,1996,90005,California
1742954,4,2,2814,4371,2007,90003,California
1615213,15,9,11436,20447,1978,90001,California
1199536,19,8,14177,54545,1995,90004,California
1544061,7,2,3882,13507,1999,90002,California
1597976,10,6,6359,24612,2002,90002,California
238781,16,6,17704,44580,1982,90001,California
1418185,10,5,3713,11419,2010,90000,California
305978,15,7,16129,54673,1968,90005,California
152066,18,9,17623,58681,1977,90005,California
1157024,6,4,1950,4885,2018,90005,California
921651,4,2,2126,7040,1984,90002,California
1714321,20,9,16004,38931,1987,90002,California
748517,20,8,13423,31432,1974,90005,California
1701427,17,9,14760,22766,1958,90003,California
498444,8,5,4106,11893,2017,90003,California
300529,6,3,2751,10379,1970,90005,California
159665,12,5,17171,48196,1994,90003,California
269266,3,1,1121,3733,1964,90003,California
1509435,16,7,19287,59974,1991,90003,California
1216862,20,9,10299,17113,1951,90003,California
604715,13,6,19438,66447,1982,90005,California
1820219,12,6,12272,27139,2015,90004,California
1709402,19,8,16963,60675,1966,90002,California
211594,19,8,8091,22212,1993,90004,California
850237,18,8,16854,34615,2003,90004,California
1199882,16,8,18042,47450,2005,90002,California
384607,12,5,11676,45807,1978,90004,California
458426,1,1,1372,5298,1971,90005,California
1502670,7,3,3739,8645,1958,90005,California
251771,18,9,15565,47707,2018,90002,California
558722,16,7,9012,12836,1982,90005,California
1833987,10,5,3873,6004,1987,90005,California
1985779,17,8,16548,65992,2020,90000,California
1504049,11,5,13193,40877,1990,90004,California
985111,3,1,898,1420,1976,90001,California
1590754,6,1,1779,3372,1991,90001,California
1984087,19,9,17415,50769,1954,90002,California
999730,12,7,15910,55774,2022,90005,California
950421,7,4,3023,5906,1959,90004,California
1529415,15,8,19428,24415,1987,90004,California
1825924,20,9,9305,34786,1953,90003,California
1135965,20,10,13510,20779,2015,90003,California
1606573,13,6,15987,35775,1995,90002,California
1452860,15,8,19664,41067,1968,90004,California
1872691,20,10,19564,35259,1996,90001,California
1076096,12,5,8773,29899,2013,90000,California
1952738,14,7,18944,28750,1963,90002,California
1382104,20,10,8826,11887,2015,90001,California
141364,15,7,18350,59534,2001,90003,California
615698,11,5,17189,19511,2011,90003,California
491800,2,1,1303,2930,1993,90001,California
231691,13,6,11092,39203,1975,90005,California
174084,16,8,16421,52067,1973,90001,California
1240078,8,3,5920,21491,1970,90000,California
506913,4,1,2154,4777,2019,90004,California
138127,14,8,11517,43242,1950,90002,California
1949777,19,9,12148,47681,1983,90004,California
572388,19,9,7848,14459,1978,90000,California
1339118,12,7,16998,48700,2002,90000,California
646961,3,2,734,1399,1987,90005,California
1932188,11,5,19098,35522,1993,90000,California
1828210,14,7,7046,8832,1998,90004,California
1837646,14,6,17140,61301,2000,90002,California
1536355,19,8,18917,39345,1969,90005,California
543503,19,10,11034,21204,1981,90002,California
293562,5,1,1840,6174,1970,90002,California
1102399,17,7,14259,37458,1971,90002,California
970785,10,4,4144,12095,1953,90000,California
1633518,4,2,2140,4124,1955,90005,California
816983,20,9,12452,44909,1973,90002,California
1473459,12,6,13859,35840,1983,90001,California
1416913,15,7,15190,56888,2012,90005,California
1864087,18,7,12212,23281,1985,90005,California
1036547,14,8,10413,26271,1999,90001,California
1543812,9,5,3865,4519,1979,90002,California
1947351,19,8,14892,49028,2008,90003,California
643982,6,4,2618,3800,2003,90000,California
1876434,18,10,8974,32333,1961,90004,California
1635103,7,4,3143,5190,2011,90003,California
405758,4,3,2885,5504,1999,90004,California
1515606,8,3,4901,17288,1980,90001,California
1033516,19,9,13013,36954,1999,90002,California
1757814,20,9,12875,30434,2001,90000,California
578152,1,1,947,2116,2017,90000,California
927940,8,3,3449,5583,2005,90002,California
786659,1,1,1114,2621,1958,90005,California
1657490,8,3,6385,17850,2003,90005,California
1250032,16,7,14528,39250,1962,90000,California
1333367,13,7,19625,25659,1982,90005,California
340417,4,2,2224,4124,2010,90002,California
1906341,16,8,16218,24289,1953,90005,California
802928,5,3,1808,6057,1985,90001,California
819846,2,1,1017,1900,2015,90001,California
1432498,18,10,13633,18836,1983,90002,California
1589138,12,7,11957,40814,1979,90004,California
188183,1,1,1218,3534,1954,90002,California
385775,2,1,866,1556,2003,90004,California
563941,6,3,2540,4867,1957,90004,California
1526569,9,5,5005,17816,2012,90001,California
1473663,8,3,5817,12515,1986,90005,California
604176,9,3,5131,9604,1982,90000,California
1871196,18,9,16674,51121,1993,90001,California
1190201,18,8,10640,21404,1964,90005,California
1776758,10,4,6942,12527,2000,90001,California
1854047,10,7,6859,16114,2003,90003,California
1657727,5,4,1639,4533,1985,90004,California
1243995,19,9,17242,41630,2022,90000,California
900049,2,1,656,1870,1968,90004,California
195280,18,8,11274,43155,2011,90005,California
1426598,15,5,16531,27901,2002,90005,California
1013926,4,1,1848,2734,1974,90005,California
1230861,2,1,1300,2180,1953,90004,California
371320,16,7,11041,29049,2010,90002,California
1705065,11,4,10644,11164,2016,90005,California
1749089,19,10,15219,20737,1981,90004,California
1945329,12,5,8453,31798,1965,90003,California
1920099,3,1,855,2290,1984,90004,California
1762591,19,9,19219,31594,2008,90003,California
760207,4,2,2205,7049,1986,90001,California
341476,15,6,16316,37444,2006,90005,California
1932126,19,9,13474,51203,1983,90001,California
122362,5,1,1796,2694,1970,90003,California
1221710,20,10,18011,50144,2020,90003,California
281897,16,7,7885,13644,1977,90000,California
1007441,18,8,10256,31194,1994,90002,California
721554,10,4,5413,8487,1970,90002,California
270197,19,9,14933,36532,1984,90003,California
1745341,4,2,1726,6657,1979,90003,California
318668,1,1,1121,4000,1954,90001,California
338849,20,9,8218,13255,1989,90005,California
1771098,3,2,936,3167,2012,90005,California
619627,4,2,2401,3071,2003,90005,California
1150975,9,4,6026,12810,1991,90001,California
1409511,1,2,1245,3905,2014,90004,California
1839859,16,8,10422,30029,1994,90004,California
258016,10,4,4928,6599,2015,90005,California
716064,16,6,13029,16251,1950,90004,California
1319302,11,4,19100,21884,2004,90004,California
660322,16,7,16848,43197,2012,90004,California
1861474,8,4,5015,13079,1979,90005,California
458652,14,9,10044,11995,1997,90003,California
100999,6,1,2788,9917,2016,90004,California
1367256,14,7,11893,21663,1951,90000,California
968130,16,8,16749,48499,1977,90001,California
1599576,10,2,6439,10893,2010,90002,California
1278226,11,5,10448,34724,1994,90003,California
298459,7,1,3629,6485,1974,90001,California
1024958,6,3,2983,7326,1987,90003,California
1161735,1,1,517,1688,1982,90000,California
1495596,2,1,1318,3917,2001,90004,California
760065,11,5,17857,34161,1952,90004,California
166685,4,1,1722,4781,1951,90000,California
476191,4,2,2567,4896,2009,90005,California
1216156,20,10,7922,14235,2012,90000,California
940442,14,7,9321,25081,2020,90005,California
262729,6,1,1523,5578,1971,90004,California
690893,1,1,1226,2223,2003,90000,California
1520364,9,5,6753,26209,2003,90001,California
1777602,12,4,7983,14965,1958,90001,California
804638,13,7,11629,44553,1956,90000,California
1232110,11,6,9269,20405,1969,90000,California
1001495,11,4,10257,30615,1967,90004,California
1278413,4,2,2467,4166,1969,90000,California
1812945,8,4,6524,7076,2022,90001,California
1420630,11,6,19679,60301,2012,90002,California
245246,17,8,12273,33586,2012,90004,California
509675,17,7,11648,28314,1982,90004,California
148071,14,7,18440,43714,1985,90004,California
1668878,10,4,6494,9135,1990,90004,California
1458031,9,3,5308,7175,1968,90000,California
1092890,19,10,10311,41183,2013,90002,California
1901067,1,2,568,1528,1999,90003,California
1806074,10,4,6543,15523,1975,90004,California
1450187,4,1,2796,9121,2020,90003,California
377425,4,1,2057,2780,2016,90004,California
1612100,3,1,997,3708,1984,90000,California
702479,19,9,17284,18520,1967,90004,California
1187377,7,4,5882,11001,2013,90002,California
1209939,2,2,772,2115,2020,90003,California
276016,15,6,7513,14251,1989,90004,California
1865112,5,3,1527,4658,2001,90001,California
565390,14,8,19421,20275,1984,90003,California
1854586,17,7,7109,11280,1959,90004,California
1195035,19,8,18375,51819,1956,90003,California
1600030,17,8,9927,28293,1959,90003,California
1351136,1,1,926,3332,2009,90002,California
1725583,14,8,7086,16170,1994,90004,California
224324,2,1,1255,2537,1983,90002,California
697757,9,3,5087,15852,1971,90001,California
1624171,13,5,8048,27536,1970,90002,California
678901,8,5,6246,11414,1963,90000,California
1096346,8,4,5391,21273,1975,90001,California
338741,6,4,1629,4803,1987,90003,California
1607281,10,6,4691,12033,1951,90001,California
1367918,3,1,834,2465,1999,90003,California
1548595,15,8,10217,40856,1975,90004,California
477168,3,2,620,1803,1956,90004,California
777675,12,6,16250,57763,1950,90000,California
926364,16,8,19536,38226,1952,90000,California
1787441,13,5,11006,43365,1988,90002,California
1043891,3,1,784,2221,1961,90000,California
1568504,16,8,9871,12388,2019,90003,California
930063,13,7,13536,29780,2022,90003,California
1760251,7,4,5513,19632,1951,90000,California
1084227,5,3,1732,3080,2021,90004,California
1182035,10,6,4871,19126,1957,90003,California
813865,3,1,1301,3504,2001,90000,California
366805,12,7,10432,41154,1986,90001,California
860191,18,8,14514,15865,1970,90000,California
964831,11,6,15974,58215,1986,90002,California
1709510,11,6,7691,12107,1968,90000,California
546799,4,2,2703,6455,2006,90000,California
967789,19,10,15164,24091,1969,90001,California
682884,12,5,11010,36324,1951,90003,California
1040787,13,5,13701,23966,1950,90001,California
1504918,15,7,13506,33814,1963,90004,California
502101,5,3,2386,3066,1986,90001,California
909654,3,1,988,2677,1973,90002,California
744437,9,4,3908,8486,1961,90001,California
1027348,20,9,13109,46386,1950,90002,California
1024790,20,10,19358,23560,1960,90001,California
661531,4,1,1727,4606,1979,90001,California
774641,1,1,664,2383,1972,90000,California
476149,6,3,1518,5505,2008,90005,California
656024,6,4,1697,5530,2015,90002,California
1240156,4,1,1874,4792,2005,90002,California
746285,5,3,1729,5873,2021,90003,California
253259,3,2,1250,4792,1977,90004,California
467994,14,8,18440,56254,1976,90004,California
389582,17,9,19494,59725,2018,90005,California
1424593,2,1,796,1852,1969,90003,California
1509699,7,4,3291,7074,1969,90002,California
485633,9,4,5471,20153,1999,90005,California
1892877,10,4,6010,6980,1976,90000,California
398242,1,1,1084,3731,1979,90005,California
1532510,16,9,10868,18069,1997,90004,California
1102538,6,3,2164,4254,1983,90003,California
1242817,1,1,1167,3517,2010,90003,California
937273,20,10,8854,26454,1961,90005,California
1043844,9,3,3311,9629,2008,90005,California
1120867,4,1,1619,2966,2000,90004,California
592840,18,9,12984,23414,1954,90004,California
1361535,6,1,2127,6303,2002,90003,California
704737,19,10,17869,28809,1967,90001,California
1319272,16,9,18390,34741,2000,90004,California
1070640,1,2,687,2391,1992,90001,California
502835,16,7,18345,43898,1984,90001,California
1677291,1,1,1249,3188,1970,90001,California
202230,5,2,1783,6682,2018,90003,California
1797797,3,3,1261,1902,2016,90002,California
367287,11,4,12800,39582,1975,90001,California
548587,2,1,1297,4056,2006,90000,California
719794,9,6,5234,20379,2019,90002,California
944889,19,10,13494,28987,2014,90005,California
495740,4,1,2815,9453,2006,90001,California
1800540,18,8,17912,57025,2018,90004,California
661581,5,5,1921,6870,1964,90002,California
1719740,16,8,11388,43326,2003,90002,California
528639,20,7,15633,54302,1997,90000,California
592512,17,8,19554,67665,2010,90003,California
837001,4,1,2424,4949,1991,90002,California
1138240,19,9,10256,11449,1969,90004,California
1757730,5,1,2537,9806,2007,90000,California
937461,4,3,2907,4600,1978,90001,California
488882,16,6,9466,13153,2018,90001,California
937485,11,5,14774,25706,1983,90003,California
892009,4,2,2475,9860,1990,90005,California
881050,2,1,652,1941,2009,90000,California
1229388,16,7,14873,53460,2018,90005,California
138411,10,4,4802,16097,1978,90004,California
283586,14,7,16507,29663,1957,90002,California
1469397,16,7,9191,15924,1954,90005,California
627553,9,3,6045,12462,2014,90000,California
809180,15,8,14518,43641,1955,90001,California
905412,13,5,12068,25859,2022,90004,California
895514,17,7,11709,36639,1980,90005,California
1287026,19,8,16007,49773,1966,90001,California
1935231,6,1,2484,4743,2003,90001,California
1001705,4,3,2199,6070,1982,90005,California
379650,12,6,7310,8151,2000,90005,California
1230124,7,2,6796,12719,1996,90000,California
1515334,15,7,13169,14735,1990,90005,California
153305,15,7,19416,65025,1954,90005,California
1602451,19,10,7209,16714,2014,90004,California
695951,20,9,16640,64906,1981,90001,California
881295,6,3,1581,3309,1968,90000,California
463866,3,1,615,1515,1992,90003,California
1539072,17,10,19797,78180,1983,90005,California
1676757,16,7,11070,34867,1966,90004,California
1004463,16,7,10473,32381,1954,90002,California
526404,15,5,10372,13129,2001,90003,California
230521,5,1,1995,3225,1952,90000,California
1211867,19,10,12609,36726,2006,90003,California
1623518,17,6,8410,30147,2000,90002,California
1983395,1,1,806,2026,1953,90000,California
1040008,15,6,12030,40322,1964,90000,California
733221,9,4,3667,14359,1974,90000,California
920593,7,2,3144,11118,1967,90005,California
332790,14,7,8555,15331,2011,90000,California
1649199,7,5,3267,4738,1952,90004,California
1919060,8,3,6620,25088,2008,90001,California
701294,14,7,10190,39009,2015,90001,California
1647440,4,1,2168,8578,1952,90000,California
422767,16,9,11139,19719,2015,90005,California
737644,12,3,14097,38996,2021,90001,California
1628021,14,6,10655,12513,1971,90000,California
1124028,18,8,19992,56204,1950,90005,California
1476096,9,4,3788,10483,2015,90004,California
1387767,19,8,16441,32362,1968,90005,California
1107609,2,2,1209,4412,2011,90002,California
1260434,3,1,1270,2174,1992,90002,California
1699014,6,5,1732,5265,1970,90003,California
819874,10,3,5092,7682,2001,90001,California
1369165,9,3,5424,9907,1996,90000,California
371197,11,5,11331,36033,1978,90003,California
515862,18,8,11811,30009,2001,90003,California
1128153,4,1,2856,7951,1951,90005,California
1487729,2,1,968,2022,1988,90003,California
121169,5,4,2229,7608,2001,90004,California
1560619,5,2,2526,7280,1971,90001,California
1981585,20,10,11654,30434,1998,90005,California
1408012,11,6,8355,9370,1964,90003,California
1476246,2,1,932,1743,1957,90003,California
1673557,16,7,9771,16623,2018,90005,California
1390989,14,8,13861,22019,2009,90001,California
793963,20,10,14167,21978,2019,90000,California
501698,20,10,9949,16185,1952,90005,California
1086968,7,3,6405,20605,2018,90004,California
1288232,19,10,12865,40497,1997,90002,California
1192017,9,3,6173,17408,1973,90000,California
463645,7,3,6053,17097,1957,90003,California
254256,11,4,14664,57454,1951,90002,California
1248102,18,10,13371,21802,1965,90000,California
318547,19,8,18214,50144,1996,90004,California
1603073,1,1,883,1790,1984,90005,California
1200945,5,3,1963,3502,1990,90003,California
455754,1,1,1054,1900,1980,90005,California
526360,13,7,10355,30690,1987,90005,California
825736,4,2,2263,5029,2006,90000,California
1621458,15,7,11209,26102,1997,90004,California
502507,6,3,2838,5688,1964,90001,California
1862779,15,7,8647,23475,1951,90005,California
1467722,15,6,12159,26935,2006,90003,California
1472044,4,1,1511,5583,2006,90002,California
1309363,2,1,545,2127,1985,90003,California
818210,1,1,1357,3989,2012,90005,California
512899,18,9,18934,55078,1998,90005,California
169933,12,6,12043,42164,1960,90000,California
396404,8,4,4088,15199,1977,90000,California
1098110,18,9,12596,13738,1950,90000,California
1567015,1,1,805,2218,1979,90000,California
1681961,1,1,1417,4466,2016,90004,California
1772494,17,7,13152,41591,1968,90003,California
853147,2,1,501,1064,1975,90000,California
318814,15,9,12537,35464,1955,90003,California
1023898,11,4,8069,13120,1994,90002,California
951119,4,1,2271,5428,2016,90001,California
815554,10,5,5522,8816,2014,90004,California
826394,15,7,17967,68100,1967,90003,California
884577,4,1,2908,4707,1961,90000,California
1769695,10,5,3891,15302,2011,90005,California
1104899,5,3,1619,5649,1977,90004,California
817030,4,2,2797,8361,2015,90001,California
106268,4,1,1929,2609,1995,90004,California
1882129,12,6,18082,52279,1977,90003,California
729976,3,2,1463,5119,1974,90001,California
1825958,9,7,6408,10806,2021,90003,California
1767943,3,1,788,3139,2007,90000,California
1896597,12,6,16848,51187,1986,90000,California
629771,13,6,8868,17750,2011,90004,California
112755,20,10,8023,20838,2004,90005,California
998387,20,9,10113,20516,1984,90000,California
1636781,16,6,9794,34923,1975,90001,California
210225,13,5,12546,37548,1999,90003,California
714439,2,1,716,2862,1979,90002,California
957082,6,2,2128,7201,1966,90000,California
666483,17,8,16265,37846,1954,90001,California
1546330,13,5,10366,30676,2008,90002,California
1603623,1,1,877,1406,1952,90005,California
1827679,17,8,11218,32271,2020,90003,California
1561267,16,8,9224,11976,1978,90005,California
1951069,10,5,6080,21761,1971,90003,California
1441166,17,8,18947,73356,2016,90004,California
450911,10,7,4587,12924,1962,90005,California
1347201,8,3,4183,16161,1983,90003,California
1781313,12,6,10611,27856,1965,90005,California
1493202,7,2,3794,12096,1966,90004,California
1944864,8,3,5499,21463,1963,90000,California
208487,7,4,3063,5490,2003,90000,California
247456,1,1,1238,2443,1991,90003,California
938347,14,6,13024,32541,1973,90003,California
434345,9,3,5417,15073,1955,90005,California
809443,2,1,763,2473,1999,90002,California
1095832,4,2,2147,4676,1957,90002,California
656264,14,6,18050,68550,1961,90002,California
1278147,20,9,7865,30810,1978,90005,California
1235912,4,2,1578,5341,1973,90002,California
565240,5,1,2289,6384,1969,90005,California
1587886,19,7,9301,12849,1974,90005,California
715362,3,1,607,2246,2013,90004,California
666212,16,9,16678,19843,1951,90002,California
987632,18,9,8394,21631,1964,90000,California
1818797,6,3,1709,6336,1993,90005,California
885873,6,3,2871,4365,2007,90003,California
1858578,6,3,2527,8848,2009,90004,California
1500464,11,6,19525,74812,1993,90003,California
1678379,4,1,2454,7352,1956,90000,California
344286,1,1,728,2394,1986,90001,California
1795589,9,3,4120,7259,1980,90005,California
1365056,15,8,11225,43062,1970,90001,California
1658460,2,1,1495,3456,1990,90005,California
1862654,6,2,1635,5172,2021,90005,California
1214482,18,8,14859,47017,1975,90002,California
471126,20,10,14657,56718,1967,90000,California
454092,18,10,7208,22570,1956,90004,California
401199,17,7,7210,17628,2009,90001,California
1486321,18,8,10944,28937,2001,90005,California
1688149,16,8,15143,52998,2016,90004,California
1532519,9,4,5827,13488,1986,90000,California
222068,5,1,2883,5237,1975,90004,California
1322203,14,8,11276,20314,2011,90005,California
1555926,15,9,7828,15792,2017,90000,California
1990211,5,2,2150,8552,2016,90001,California
210400,16,8,7157,19953,1981,90003,California
143820,13,7,17231,54689,2006,90004,California
1858237,13,8,9969,38999,2018,90001,California
1988063,10,4,3978,5920,1971,90002,California
766003,7,3,6894,17737,2005,90004,California
1888617,2,1,642,2058,1983,90001,California
1034249,3,1,1382,1923,1967,90003,California
1816355,6,2,1999,5456,1990,90004,California
1964686,15,8,16268,17231,1994,90000,California
603801,20,10,17432,23481,1952,90003,California
1014762,17,9,14824,31210,2006,90002,California
1282715,13,6,7794,19773,1969,90002,California
1393616,12,6,19543,69919,1973,90003,California
553777,17,8,18274,44940,1977,90003,California
430099,4,1,1608,3296,1962,90001,California
1876712,16,7,14594,18788,1962,90002,California
705986,7,2,4954,17765,2002,90003,California
623179,7,3,3146,10171,1995,90003,California
1066121,13,5,8439,28723,1969,90005,California
1535603,16,8,9874,28809,1989,90000,California
943030,1,1,1046,2122,1969,90003,California
1058865,1,1,663,1647,1982,90000,California
373790,5,3,2605,3311,1953,90002,California
1810151,14,6,12862,23213,2018,90000,California
1714147,11,4,8889,29786,2021,90005,California
1287493,10,4,4804,18139,1986,90003,California
1328388,10,5,3375,9995,1975,90004,California
